JarHC Report for jarhc-check 1.0.0-SNAPSHOT
===========================================

JAR Files
---------
List of JAR files found in classpath.

JAR file                                                       | Size    | Classes | Resources | Checksum (SHA-1)                         | Artifact coordinates
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.core.sym
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.core.type
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.core.util
jackson-dataformat-cbor-2.12.6.jar                             | com.fasterxml.jackson.dataformat.cbor               | Module-Info    | No        | com.fasterxml.jackson.core       | com.fasterxml.jackson.dataformat.cbor
                                                               |                                                     |                |           | com.fasterxml.jackson.databind   | com.fasterxml.jackson.dataformat.cbor.databind
                                                               |                                                     |                |           | java.base                        |
jackson-databind-2.12.6.1.jar                                  | com.fasterxml.jackson.databind                      | Module-Info    | No        | com.fasterxml.jackson.annotation | com.fasterxml.jackson.databind
                                                               |                                                     |                |           | com.fasterxml.jackson.core       | com.fasterxml.jackson.databind.annotation
                                                               |                                                     |                |           | java.desktop                     | com.fasterxml.jackson.databind.cfg
                                                               |                                                     |                |           | java.sql                         | com.fasterxml.jackson.databind.deser
                                                               |                                                     |                |           | java.xml                         | com.fasterxml.jackson.databind.deser.impl
                                                               |                                                     |                |           | java.base                        | com.fasterxml.jackson.databind.deser.std
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.databind.exc
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.databind.ext
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.databind.introspect
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.databind.json
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.databind.jsonFormatVisitors
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.databind.jsonschema
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.databind.jsontype
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.databind.jsontype.impl
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.databind.module
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.databind.node
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.databind.ser
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.databind.ser.impl
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.databind.ser.std
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.databind.type
                                                               |                                                     |                |           |                                  | com.fasterxml.jackson.databind.util

Class Versions
--------------
Java class file format information.

JAR file                                                       | Multi-release                  | Class files by Java version
---------------------------------------------------------------+--------------------------------+----------------------------------------------------------
jarhc-check-1.0.0-SNAPSHOT.jar                                 | No                             | Java 11 (4)
shared-1.0.0-SNAPSHOT.jar                                      | No                             | Java 11 (9)
jarhc-2.2.0.jar                                                | No                             | Java 11 (130)
slf4j-simple-2.0.13.jar                                        | Yes (Java 9)                   | Java 8 (6)
jul-to-slf4j-2.0.13.jar                                        | Yes (Java 9)                   | Java 8 (1)
aether-transport-http-1.1.0.jar                                | No                             | Java 5 (20)
jcl-over-slf4j-2.0.13.jar                                      | Yes (Java 9)                   | Java 8 (8)
url-connection-client-2.26.12.jar                              | No                             | Java 8 (13)
lambda-2.26.12.jar                                             | No                             | Java 8 (1282)
s3-2.26.12.jar                                                 | No                             | Java 8 (2077)
aws-json-protocol-2.26.12.jar                                  | No                             | Java 8 (86)
aws-xml-protocol-2.26.12.jar                                   | No                             | Java 8 (63)
aws-query-protocol-2.26.12.jar                                 | No                             | Java 8 (44)
protocol-core-2.26.12.jar                                      | No                             | Java 8 (27)
aws-core-2.26.12.jar                                           | No                             | Java 8 (117)
auth-2.26.12.jar                                               | No                             | Java 8 (150)
regions-2.26.12.jar                                            | No                             | Java 8 (420)
sdk-core-2.26.12.jar                                           | No                             | Java 8 (642)
http-auth-aws-2.26.12.jar                                      | No                             | Java 8 (104)
